title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
The Shawshank Redemption,2h 22min,Crime; Drama,Frank Darabont,Stephen King; Frank Darabont,Tim Robbins; Morgan Freeman; Bob Gunton,9.3,"1,938,917"
The Godfather,2h 55min,Crime; Drama,Francis Ford Coppola,Mario Puzo; Francis Ford Coppola,Marlon Brando; Al Pacino; James Caan,9.2,"1,326,655"
The Godfather: Part II,3h 22min,Crime; Drama,Francis Ford Coppola,Francis Ford Coppola; Mario Puzo,Al Pacino; Robert De Niro; Robert Duvall,9.0,"917,083"
The Dark Knight,2h 32min,Action; Crime; Drama,Christopher Nolan,Jonathan Nolan; Christopher Nolan,Christian Bale; Heath Ledger; Aaron Eckhart,9.0,"1,909,541"
12 Angry Men,1h 36min,Crime; Drama,Sidney Lumet,Reginald Rose; Reginald Rose,Henry Fonda; Lee J. Cobb; Martin Balsam,8.9,"537,964"
Schindler's List,3h 15min,Biography; Drama; History,Steven Spielberg,Thomas Keneally; Steven Zaillian,Liam Neeson; Ralph Fiennes; Ben Kingsley,8.9,"999,905"
The Lord of the Rings: The Return of the King,3h 21min,Adventure; Drama; Fantasy,Peter Jackson,J.R.R. Tolkien; Fran Walsh,Elijah Wood; Viggo Mortensen; Ian McKellen,8.9,"1,384,272"
Pulp Fiction,2h 34min,Crime; Drama,Quentin Tarantino,Quentin Tarantino; Roger Avary,John Travolta; Uma Thurman; Samuel L. Jackson,8.9,"1,515,333"
"Il buono, il brutto, il cattivo",2h 41min,Western,Sergio Leone,Luciano Vincenzoni; Sergio Leone,Clint Eastwood; Eli Wallach; Lee Van Cleef,8.9,"575,406"
Fight Club,2h 19min,Drama,David Fincher,Chuck Palahniuk; Jim Uhls,Brad Pitt; Edward Norton; Meat Loaf,8.8,"1,553,196"
The Lord of the Rings: The Fellowship of the Ring,2h 58min,Adventure; Drama; Fantasy,Peter Jackson,J.R.R. Tolkien; Fran Walsh,Elijah Wood; Ian McKellen; Orlando Bloom,8.8,"1,403,272"
Forrest Gump,2h 22min,Drama; Romance,Robert Zemeckis,Winston Groom; Eric Roth,Tom Hanks; Robin Wright; Gary Sinise,8.8,"1,469,245"
Star Wars: Episode V - The Empire Strikes Back,2h 4min,Action; Adventure; Fantasy,Irvin Kershner,Leigh Brackett; Lawrence Kasdan,Mark Hamill; Harrison Ford; Carrie Fisher,8.8,"975,494"
Inception,2h 28min,Action; Adventure; Sci-Fi,Christopher Nolan,Christopher Nolan,Leonardo DiCaprio; Joseph Gordon-Levitt; Ellen Page,8.8,"1,696,721"
The Lord of the Rings: The Two Towers,2h 59min,Adventure; Drama; Fantasy,Peter Jackson,J.R.R. Tolkien; Fran Walsh,Elijah Wood; Ian McKellen; Viggo Mortensen,8.7,"1,252,947"
One Flew Over the Cuckoo's Nest,2h 13min,Drama,Milos Forman,Lawrence Hauben; Bo Goldman,Jack Nicholson; Louise Fletcher; Michael Berryman,8.7,"773,512"
Goodfellas,2h 26min,Biography; Crime; Drama,Martin Scorsese,Nicholas Pileggi; Nicholas Pileggi,Robert De Niro; Ray Liotta; Joe Pesci,8.7,"836,746"
The Matrix,2h 16min,Action; Sci-Fi,Lana Wachowski; Lilly Wachowski,Lilly Wachowski; Lana Wachowski,Keanu Reeves; Laurence Fishburne; Carrie-Anne Moss,8.7,"1,393,231"
Shichinin no samurai,3h 27min,Adventure; Drama,Akira Kurosawa,Akira Kurosawa; Shinobu Hashimoto,Toshirô Mifune; Takashi Shimura; Keiko Tsushima,8.7,"262,951"
Cidade de Deus,2h 10min,Crime; Drama,Fernando Meirelles; Kátia Lund,Paulo Lins; Bráulio Mantovani,Alexandre Rodrigues; Leandro Firmino; Matheus Nachtergaele,8.6,"602,962"
Star Wars: Episode IV - A New Hope,2h 1min,Action; Adventure; Fantasy,George Lucas,George Lucas,Mark Hamill; Harrison Ford; Carrie Fisher,8.6,"1,047,378"
Se7en,2h 7min,Crime; Drama; Mystery,David Fincher,Andrew Kevin Walker,Morgan Freeman; Brad Pitt; Kevin Spacey,8.6,"1,183,300"
The Silence of the Lambs,1h 58min,Crime; Drama; Thriller,Jonathan Demme,Thomas Harris; Ted Tally,Jodie Foster; Anthony Hopkins; Lawrence A. Bonney,8.6,"1,036,328"
It's a Wonderful Life,2h 10min,Drama; Family; Fantasy,Frank Capra,Frances Goodrich; Albert Hackett,James Stewart; Donna Reed; Lionel Barrymore,8.6,"326,437"
La vita è bella,1h 56min,Comedy; Drama; War,Roberto Benigni,Vincenzo Cerami; Roberto Benigni,Roberto Benigni; Nicoletta Braschi; Giorgio Cantarini,8.6,"503,056"
The Usual Suspects,1h 46min,Crime; Mystery; Thriller,Bryan Singer,Christopher McQuarrie,Kevin Spacey; Gabriel Byrne; Chazz Palminteri,8.6,"845,706"
De reis van Chihiro,2h 5min,Animation; Adventure; Family,Hayao Miyazaki; Kirk Wise,Hayao Miyazaki,Daveigh Chase; Suzanne Pleshette; Miyu Irino,8.6,"504,225"
Saving Private Ryan,2h 49min,Drama; War,Steven Spielberg,Robert Rodat,Tom Hanks; Matt Damon; Tom Sizemore,8.6,"1,022,164"
Léon,1h 50min,Crime; Drama; Thriller,Luc Besson,Luc Besson,Jean Reno; Gary Oldman; Natalie Portman,8.6,"846,422"
Interstellar,2h 49min,Adventure; Drama; Sci-Fi,Christopher Nolan,Jonathan Nolan; Christopher Nolan,Matthew McConaughey; Anne Hathaway; Jessica Chastain,8.6,"1,163,867"
The Green Mile,3h 9min,Crime; Drama; Fantasy,Frank Darabont,Stephen King; Frank Darabont,Tom Hanks; Michael Clarke Duncan; David Morse,8.5,"923,468"
American History X,1h 59min,Crime; Drama,Tony Kaye,David McKenna,Edward Norton; Edward Furlong; Beverly D'Angelo,8.5,"890,614"
Psycho,1h 49min,Horror; Mystery; Thriller,Alfred Hitchcock,Joseph Stefano; Robert Bloch,Anthony Perkins; Janet Leigh; Vera Miles,8.5,"491,905"
Once Upon a Time in the West,2h 44min,Western,Sergio Leone,Sergio Donati; Sergio Leone,Henry Fonda; Charles Bronson; Claudia Cardinale,8.5,"251,712"
City Lights,1h 27min,Comedy; Drama; Romance,Charles Chaplin,Charles Chaplin,Charles Chaplin; Virginia Cherrill; Florence Lee,8.6,"132,408"
Casablanca,1h 42min,Drama; Romance; War,Michael Curtiz,Julius J. Epstein; Philip G. Epstein,Humphrey Bogart; Ingrid Bergman; Paul Henreid,8.5,"443,066"
The Intouchables,1h 52min,Biography; Comedy; Drama,Olivier Nakache; Éric Toledano,Olivier Nakache; Éric Toledano,François Cluzet; Omar Sy; Anne Le Ny,8.5,"612,831"
Modern Times,1h 27min,Comedy; Drama; Family,Charles Chaplin,Charles Chaplin,Charles Chaplin; Paulette Goddard; Henry Bergman,8.5,"172,858"
The Pianist,2h 30min,Biography; Drama; Music,Roman Polanski,Ronald Harwood; Wladyslaw Szpilman,Adrien Brody; Thomas Kretschmann; Frank Finlay,8.5,"586,549"
The Departed,2h 31min,Crime; Drama; Thriller,Martin Scorsese,William Monahan; Alan Mak,Leonardo DiCaprio; Matt Damon; Jack Nicholson,8.5,"999,837"
Indiana Jones and the Raiders of the Lost Ark,1h 55min,Action; Adventure,Steven Spielberg,Lawrence Kasdan; George Lucas,Harrison Ford; Karen Allen; Paul Freeman,8.5,"753,034"
Terminator 2: Judgment Day,2h 17min,Action; Sci-Fi,James Cameron,James Cameron; William Wisher,Arnold Schwarzenegger; Linda Hamilton; Edward Furlong,8.5,"845,117"
Rear Window,1h 52min,Mystery; Thriller,Alfred Hitchcock,John Michael Hayes; Cornell Woolrich,James Stewart; Grace Kelly; Wendell Corey,8.5,"367,325"
Back to the Future,1h 56min,Adventure; Comedy; Sci-Fi,Robert Zemeckis,Robert Zemeckis; Bob Gale,Michael J. Fox; Christopher Lloyd; Lea Thompson,8.5,"855,376"
Whiplash,1h 47min,Drama; Music,Damien Chazelle,Damien Chazelle,Miles Teller; J.K. Simmons; Melissa Benoist,8.5,"543,600"
Gladiator,2h 35min,Action; Adventure; Drama,Ridley Scott,David Franzoni; David Franzoni,Russell Crowe; Joaquin Phoenix; Connie Nielsen,8.5,"1,123,946"
De Leeuwenkoning,1h 28min,Animation; Adventure; Drama,Roger Allers; Rob Minkoff,Irene Mecchi; Jonathan Roberts,Matthew Broderick; Jeremy Irons; James Earl Jones,8.5,"759,912"
The Prestige,2h 10min,Drama; Mystery; Sci-Fi,Christopher Nolan,Jonathan Nolan; Christopher Nolan,Christian Bale; Hugh Jackman; Scarlett Johansson,8.5,"986,346"
Memento,1h 53min,Mystery; Thriller,Christopher Nolan,Christopher Nolan; Jonathan Nolan,Guy Pearce; Carrie-Anne Moss; Joe Pantoliano,8.5,"965,996"
Apocalypse Now,2h 27min,Drama; War,Francis Ford Coppola,John Milius; Francis Ford Coppola,Martin Sheen; Marlon Brando; Robert Duvall,8.5,"511,195"
Alien,1h 56min,Horror; Sci-Fi,Ridley Scott,Dan O'Bannon; Ronald Shusett,Sigourney Weaver; Tom Skerritt; John Hurt,8.5,"662,447"
De dictator,2h 5min,Comedy; Drama; War,Charles Chaplin,Charles Chaplin,Charles Chaplin; Paulette Goddard; Jack Oakie,8.5,"165,212"
Nuovo Cinema Paradiso,2h 35min,Drama,Giuseppe Tornatore,Giuseppe Tornatore; Giuseppe Tornatore,Philippe Noiret; Enzo Cannavale; Antonella Attili,8.5,"182,925"
Sunset Blvd.,1h 50min,Drama; Film-Noir,Billy Wilder,Charles Brackett; Billy Wilder,William Holden; Gloria Swanson; Erich von Stroheim,8.5,"164,600"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1h 35min,Comedy; War,Stanley Kubrick,Stanley Kubrick; Terry Southern,Peter Sellers; George C. Scott; Sterling Hayden,8.5,"389,720"
Hotaru no haka,1h 29min,Animation; Drama; War,Isao Takahata,Akiyuki Nosaka; Isao Takahata,Tsutomu Tatsumi; Ayano Shiraishi; Akemi Yamaguchi,8.5,"173,481"
Das Leben der Anderen,2h 17min,Drama; Thriller,Florian Henckel von Donnersmarck,Florian Henckel von Donnersmarck,Ulrich Mühe; Martina Gedeck; Sebastian Koch,8.5,"299,984"
Paths of Glory,1h 28min,Drama; War,Stanley Kubrick,Stanley Kubrick; Calder Willingham,Kirk Douglas; Ralph Meeker; Adolphe Menjou,8.4,"143,063"
Coco,1h 45min,Animation; Adventure; Comedy,Lee Unkrich; Adrian Molina,Lee Unkrich; Jason Katz,Anthony Gonzalez; Gael García Bernal; Benjamin Bratt,8.5,"155,509"
The Shining,2h 26min,Drama; Horror,Stanley Kubrick,Stephen King; Stanley Kubrick,Jack Nicholson; Shelley Duvall; Danny Lloyd,8.4,"713,542"
Django Unchained,2h 45min,Drama; Western,Quentin Tarantino,Quentin Tarantino,Jamie Foxx; Christoph Waltz; Leonardo DiCaprio,8.4,"1,119,060"
WALL·E,1h 38min,Animation; Adventure; Family,Andrew Stanton,Andrew Stanton; Pete Docter,Ben Burtt; Elissa Knight; Jeff Garlin,8.4,"836,763"
Mononoke-hime,2h 14min,Animation; Adventure; Fantasy,Hayao Miyazaki,Hayao Miyazaki; Neil Gaiman,Yôji Matsuda; Yuriko Ishida; Yûko Tanaka,8.4,"267,987"
American Beauty,2h 2min,Drama,Sam Mendes,Alan Ball,Kevin Spacey; Annette Bening; Thora Birch,8.4,"933,194"
The Dark Knight Rises,2h 44min,Action; Thriller,Christopher Nolan,Jonathan Nolan; Christopher Nolan,Christian Bale; Tom Hardy; Anne Hathaway,8.4,"1,298,304"
Witness for the Prosecution,1h 56min,Crime; Drama; Mystery,Billy Wilder,Agatha Christie; Billy Wilder,Tyrone Power; Marlene Dietrich; Charles Laughton,8.4,"81,192"
Oldeuboi,2h,Action; Drama; Mystery,Chan-wook Park,Garon Tsuchiya; Nobuaki Minegishi,Min-sik Choi; Ji-tae Yu; Hye-jeong Kang,8.4,"421,713"
Aliens,2h 17min,Action; Adventure; Sci-Fi,James Cameron,James Cameron; David Giler,Sigourney Weaver; Michael Biehn; Carrie Henn,8.4,"562,374"
Once Upon a Time in America,3h 49min,Crime; Drama,Sergio Leone,Harry Grey; Leonardo Benvenuti,Robert De Niro; James Woods; Elizabeth McGovern,8.4,"256,340"
Das Boot,2h 29min,Adventure; Drama; Thriller,Wolfgang Petersen,Wolfgang Petersen; Lothar G. Buchheim,Jürgen Prochnow; Herbert Grönemeyer; Klaus Wennemann,8.4,"194,383"
Citizen Kane,1h 59min,Drama; Mystery,Orson Welles,Herman J. Mankiewicz; Orson Welles,Orson Welles; Joseph Cotten; Dorothy Comingore,8.4,"339,606"
North by Northwest,2h 16min,Adventure; Mystery; Thriller,Alfred Hitchcock,Ernest Lehman,Cary Grant; Eva Marie Saint; James Mason,8.4,"252,057"
Vertigo,2h 8min,Mystery; Romance; Thriller,Alfred Hitchcock,Alec Coppel; Samuel A. Taylor,James Stewart; Kim Novak; Barbara Bel Geddes,8.3,"294,086"
Braveheart,2h 58min,Biography; Drama; History,Mel Gibson,Randall Wallace,Mel Gibson; Sophie Marceau; Patrick McGoohan,8.4,"839,115"
Reservoir Dogs,1h 39min,Crime; Drama; Thriller,Quentin Tarantino,Quentin Tarantino; Quentin Tarantino,Harvey Keitel; Tim Roth; Michael Madsen,8.3,"766,578"
Star Wars: Episode VI - Return of the Jedi,2h 11min,Action; Adventure; Fantasy,Richard Marquand,Lawrence Kasdan; George Lucas,Mark Hamill; Harrison Ford; Carrie Fisher,8.3,"802,021"
Dangal,2h 41min,Action; Biography; Drama,Nitesh Tiwari,Piyush Gupta; Shreyas Jain,Aamir Khan; Sakshi Tanwar; Fatima Sana Shaikh,8.6,"91,569"
M,1h 57min,Crime; Drama; Mystery,Fritz Lang,Thea von Harbou; Fritz Lang,Peter Lorre; Ellen Widmann; Inge Landgut,8.4,"117,260"
Kimi no na wa.,1h 46min,Animation; Drama; Fantasy,Makoto Shinkai,Makoto Shinkai; Makoto Shinkai,Ryûnosuke Kamiki; Mone Kamishiraishi; Ryô Narita,8.4,"88,383"
Requiem for a Dream,1h 42min,Drama,Darren Aronofsky,Hubert Selby Jr.; Hubert Selby Jr.,Ellen Burstyn; Jared Leto; Jennifer Connelly,8.3,"656,659"
Taare Zameen Par,2h 45min,Drama; Family,Aamir Khan; Amole Gupte,Amole Gupte; Amole Gupte,Darsheel Safary; Aamir Khan; Tanay Chheda,8.5,"121,641"
Amadeus,2h 40min,Biography; Drama; History,Milos Forman,Peter Shaffer; Peter Shaffer,F. Murray Abraham; Tom Hulce; Elizabeth Berridge,8.3,"313,425"
Amélie,2h 2min,Comedy; Romance,Jean-Pierre Jeunet,Guillaume Laurant; Jean-Pierre Jeunet,Audrey Tautou; Mathieu Kassovitz; Rufus,8.3,"611,199"
A Clockwork Orange,2h 16min,Crime; Drama; Sci-Fi,Stanley Kubrick,Stanley Kubrick; Anthony Burgess,Malcolm McDowell; Patrick Magee; Michael Bates,8.3,"641,018"
Lawrence of Arabia,3h 36min,Adventure; Biography; Drama,David Lean,T.E. Lawrence; Robert Bolt,Peter O'Toole; Alec Guinness; Anthony Quinn,8.3,"223,986"
Eternal Sunshine of the Spotless Mind,1h 48min,Drama; Romance; Sci-Fi,Michel Gondry,Charlie Kaufman; Michel Gondry,Jim Carrey; Kate Winslet; Tom Wilkinson,8.3,"766,683"
Double Indemnity,1h 47min,Crime; Drama; Film-Noir,Billy Wilder,Billy Wilder; Raymond Chandler,Fred MacMurray; Barbara Stanwyck; Edward G. Robinson,8.3,"116,433"
Taxi Driver,1h 54min,Crime; Drama,Martin Scorsese,Paul Schrader,Robert De Niro; Jodie Foster; Cybill Shepherd,8.3,"588,487"
Singin' in the Rain,1h 43min,Comedy; Musical; Romance,Stanley Donen; Gene Kelly,Betty Comden; Adolph Green,Gene Kelly; Donald O'Connor; Debbie Reynolds,8.3,"180,507"
3 Idiots,2h 50min,Comedy; Drama,Rajkumar Hirani,Rajkumar Hirani; Abhijat Joshi,Aamir Khan; Madhavan; Mona Singh,8.4,"268,659"
2001: A Space Odyssey,2h 29min,Adventure; Sci-Fi,Stanley Kubrick,Stanley Kubrick; Arthur C. Clarke,Keir Dullea; Gary Lockwood; William Sylvester,8.3,"497,528"
Toy Story,1h 21min,Animation; Adventure; Comedy,John Lasseter,John Lasseter; Pete Docter,Tom Hanks; Tim Allen; Don Rickles,8.3,"727,313"
To Kill a Mockingbird,2h 9min,Crime; Drama,Robert Mulligan,Harper Lee; Horton Foote,Gregory Peck; John Megna; Frank Overton,8.3,"252,480"
Full Metal Jacket,1h 56min,Drama; War,Stanley Kubrick,Stanley Kubrick; Michael Herr,Matthew Modine; R. Lee Ermey; Vincent D'Onofrio,8.3,"563,137"
Inglourious Basterds,2h 33min,Adventure; Drama; War,Quentin Tarantino; Eli Roth,Quentin Tarantino,Brad Pitt; Diane Kruger; Eli Roth,8.3,"1,034,037"
Ladri di biciclette,1h 29min,Drama,Vittorio De Sica,Cesare Zavattini; Luigi Bartolini,Lamberto Maggiorani; Enzo Staiola; Lianella Carell,8.3,"114,747"
The Sting,2h 9min,Comedy; Crime; Drama,George Roy Hill,David S. Ward,Paul Newman; Robert Redford; Robert Shaw,8.3,"203,583"
The Kid,1h 8min,Comedy; Drama; Family,Charles Chaplin,Charles Chaplin,Charles Chaplin; Edna Purviance; Jackie Coogan,8.3,"86,243"
Toy Story 3,1h 43min,Animation; Adventure; Comedy,Lee Unkrich,John Lasseter; Andrew Stanton,Tom Hanks; Tim Allen; Joan Cusack,8.3,"630,429"
Snatch,1h 44min,Comedy; Crime,Guy Ritchie,Guy Ritchie,Jason Statham; Brad Pitt; Benicio Del Toro,8.3,"678,279"
Good Will Hunting,2h 6min,Drama,Gus Van Sant,Matt Damon; Ben Affleck,Robin Williams; Matt Damon; Ben Affleck,8.3,"708,452"
Jagten,1h 55min,Drama,Thomas Vinterberg,Tobias Lindholm; Thomas Vinterberg,Mads Mikkelsen; Thomas Bo Larsen; Annika Wedderkopp,8.3,"216,467"
Monty Python and the Holy Grail,1h 31min,Adventure; Comedy; Fantasy,Terry Gilliam; Terry Jones,Graham Chapman; John Cleese,Graham Chapman; John Cleese; Eric Idle,8.3,"430,448"
Per qualche dollaro in più,2h 12min,Western,Sergio Leone,Sergio Leone; Fulvio Morsella,Clint Eastwood; Lee Van Cleef; Gian Maria Volontè,8.3,"187,610"
Scarface,2h 50min,Crime; Drama,Brian De Palma,Oliver Stone,Al Pacino; Michelle Pfeiffer; Steven Bauer,8.3,"616,927"
L.A. Confidential,2h 18min,Crime; Drama; Mystery,Curtis Hanson,James Ellroy; Brian Helgeland,Kevin Spacey; Russell Crowe; Guy Pearce,8.3,"465,019"
The Apartment,2h 5min,Comedy; Drama; Romance,Billy Wilder,Billy Wilder; I.A.L. Diamond,Jack Lemmon; Shirley MacLaine; Fred MacMurray,8.3,"130,717"
Metropolis,2h 33min,Drama; Sci-Fi,Fritz Lang,Thea von Harbou; Thea von Harbou,Brigitte Helm; Alfred Abel; Gustav Fröhlich,8.3,"132,067"
Jodaeiye Nader az Simin,2h 3min,Drama; Mystery,Asghar Farhadi,Asghar Farhadi,Payman Maadi; Leila Hatami; Sareh Bayat,8.3,"180,086"
Rashômon,1h 28min,Crime; Drama; Mystery,Akira Kurosawa,Ryûnosuke Akutagawa; Akira Kurosawa,Toshirô Mifune; Machiko Kyô; Masayuki Mori,8.3,"122,398"
Indiana Jones and the Last Crusade,2h 7min,Action; Adventure; Fantasy,Steven Spielberg,Jeffrey Boam; George Lucas,Harrison Ford; Sean Connery; Alison Doody,8.3,"590,251"
